Gene,Metabolite,a (g→m),b (m→e|g),c_total (g→e),c_direct,prop_mediated,sobel_z,sobel_p,FDR
Zm00001d026194,C_6133_188.5535mz_11.21min_96224_,-0.5934441755388341,0.5280416684472713,0.05951267500889255,0.3728759275907338,-5.265487604699631,-2.1674409619730506,0.042445555008264524,0.20964812964426288
Zm00001d018428,C_32393_413.0742mz_4.93min_88851_,-0.6698960344096162,0.4956934157402744,-0.33799944215353583,-0.005936388666167606,0.9824366909355106,-2.164664168752047,0.042684926075831964,0.20964812964426288
Zm00001d009118,C_43504_312.1740mz_7.74min_95597_,0.46502726132577993,-0.7003622626958206,-0.12140047101272214,0.20428707394464235,2.6827535530997584,-2.162098257933989,0.04290720896210498,0.20964812964426288
Zm00001d017720,C_31717_353.1450mz_4.70min_32213_,1.290981665040848,0.38198451620458945,0.5299799236773146,0.036844916927692734,0.9304786553572805,2.152898150477939,0.04371288518500038,0.20964812964426288
Zm00001d026194,C_31717_353.1450mz_4.70min_32213_,-0.5684821826993409,0.5309972699797624,0.05951267500889255,0.3613751620543812,-5.072238594557941,-2.149362973981941,0.04402610722529521,0.20964812964426288
Zm00001d009118,C_1345_225.1210mz_1.83min_20407_,1.375485202135791,-0.2235973201257777,-0.12140047101272214,0.18615433405750578,2.533390542100926,-2.1199989668370476,0.04670757279174054,0.2123071490533661
Zm00001d035367,C_31717_353.1450mz_4.70min_32213_,-0.7935549621021027,0.4048326410673081,-0.3129851552839256,0.008271795855935392,1.0264287162387353,-2.0441323591797778,0.05433237931215573,0.22810002657493061
Zm00001d014401,C_1345_225.1210mz_1.83min_20407_,1.0111412405679925,-0.24785312953740973,0.06402943278103362,0.3146439536601496,-3.9140518663684203,-2.029911197230962,0.05588028873352857,0.22810002657493061
Zm00001d009118,C_32821_224.0279mz_5.10min_106276_,-0.6568841332929314,0.41160857049051713,-0.12140047101272214,0.14897866806988347,2.227167133925463,-1.9749896174870096,0.06223544271994985,0.22810002657493061
Zm00001d026194,C_34974_183.0416mz_5.73min_84213_,-0.38315562018814986,0.6451778858152484,0.05951267500889255,0.30671620798011345,-4.153796362443514,-1.9690608250374713,0.06295861192723451,0.22810002657493061
Zm00001d008951,C_957_115.0039mz_1.71min_9228_,-0.37815514779674536,0.49261199042479986,-0.13213125279337307,0.054152507252166075,1.4098387482698722,-1.9446468024133818,0.06601585167429858,0.22810002657493061
Zm00001d009118,C_32393_413.0742mz_4.93min_88851_,-0.4613548938547902,0.5609069301415825,-0.12140047101272214,0.13737668620516344,2.131599285070048,-1.9425017024430071,0.06629066323049937,0.22810002657493061
Zm00001d017720,C_32393_413.0742mz_4.93min_88851_,0.8541981083549675,0.4135584265747491,0.5299799236773146,0.17671909800290783,0.6665551087733171,1.9203263403203388,0.06919150775461103,0.22810002657493061
Zm00001d018428,C_11766_384.2742mz_13.27min_44745_,0.7784696992206879,-0.3433130679629899,-0.33799944215353583,-0.07074062139785495,0.7907078752937079,-1.8703491209697012,0.07614354957901037,0.22810002657493061
Zm00001d008951,C_43504_312.1740mz_7.74min_95597_,0.28929008719655713,-0.5813748759359996,-0.13213125279337307,0.03605473576004077,1.272870611591212,-1.8619605326757545,0.07736872469964329,0.22810002657493061
Zm00001d026194,C_43504_312.1740mz_7.74min_95597_,0.31624996578777104,-0.7157459324170359,0.05951267500889255,0.2858673016485154,-3.8034692039267326,-1.860104976771037,0.07764205608975594,0.22810002657493061
Zm00001d012313,C_917_212.0385mz_1.69min_86156_,-0.33553312074163355,0.606038878795897,-0.05135212495617003,0.15199399133697766,3.9598383994178876,-1.8458377369633405,0.07977208573857664,0.22810002657493061
Zm00001d008951,C_917_212.0385mz_1.69min_86156_,-0.2965344716161235,0.5315159114376186,-0.13213125279337307,0.025481537160344216,1.1928501896534067,-1.816452561756916,0.0843206361989357,0.22810002657493061
Zm00001d013003,C_32393_413.0742mz_4.93min_88851_,-0.3210790424417303,0.5084088033966849,-0.14857817026055517,0.014661241502999202,1.0986769555533522,-1.8161201847812116,0.08437335170614046,0.22810002657493061
Zm00001d026194,C_1345_225.1210mz_1.83min_20407_,0.9397600150308996,-0.23122520238003977,0.05951267500889255,0.27680887467308185,-3.6512591583510625,-1.8033012160984232,0.08642846413960226,0.22810002657493061
Zm00001d008951,C_1345_225.1210mz_1.83min_20407_,0.810282690092774,-0.18467585391161595,-0.13213125279337307,0.017508394909311817,1.1325075978556827,-1.7892016230057088,0.08873897998927549,0.22810002657493061
Zm00001d035367,C_32393_413.0742mz_4.93min_88851_,-0.565398829798653,0.4230806205064485,-0.3129851552839256,-0.07377586753909189,0.7642831735193133,-1.7844516713749108,0.08952933114559736,0.22810002657493061
Zm00001d012313,C_32821_224.0279mz_5.10min_106276_,-0.5007874238465326,0.41510967915789043,-0.05135212495617003,0.1565295818830697,4.048161726835462,-1.7765277293128772,0.0908613810049701,0.22810002657493061
Zm00001d012313,C_11766_384.2742mz_13.27min_44745_,0.44623942575252945,-0.43685208777991,-0.05135212495617003,0.14358849983353153,3.796154978125772,-1.7725229967835208,0.09154109461598248,0.22810002657493061
Zm00001d012313,C_1345_225.1210mz_1.83min_20407_,0.9045007198244671,-0.2080494874395273,-0.05135212495617003,0.1368287861919943,3.6645204323828886,-1.7609357208155052,0.09353259107678236,0.22810002657493061
Zm00001d012313,C_31717_353.1450mz_4.70min_32213_,-0.4464905461315297,0.4479865195838712,-0.05135212495617003,0.14866962083239693,3.8951016332681294,-1.7356428451687587,0.09800987717035103,0.22810002657493061
Zm00001d013003,C_917_212.0385mz_1.69min_86156_,-0.29932493426079154,0.5106945553282122,-0.14857817026055517,0.004285443940406667,1.0288430254114145,-1.7298578362291486,0.09905944602664718,0.22810002657493061
Zm00001d014401,C_34974_183.0416mz_5.73min_84213_,-0.3202863096092695,0.6035315888797318,0.06402943278103362,0.2573323381159437,-3.018969510411921,-1.7152825692158422,0.10174669520939927,0.22810002657493061
Zm00001d013003,C_32821_224.0279mz_5.10min_106276_,-0.4182581179133613,0.3682733002548327,-0.14857817026055517,0.0054551271817738405,1.036715536153174,-1.710483777051008,0.10264501195871878,0.22810002657493061
Zm00001d008951,C_34974_183.0416mz_5.73min_84213_,-0.2808168691806557,0.4750682627603069,-0.13213125279337307,0.0012759294020689325,1.0096565299661864,-1.6868326960607631,0.10717216285329112,0.2290021810705663
Zm00001d026194,C_32393_413.0742mz_4.93min_88851_,-0.3489285926437475,0.6048123548870484,0.05951267500889255,0.27054899881318156,-3.546073567903903,-1.6693830106851832,0.11062043467153071,0.2290021810705663
Zm00001d017720,C_11766_384.2742mz_13.27min_44745_,-1.022954912229263,-0.28910719909077587,0.5299799236773146,0.2342362942065634,0.5580279860767305,1.6623139913694505,0.11204396247834225,0.2290021810705663
Zm00001d012313,C_6133_188.5535mz_11.21min_96224_,-0.5130463259634787,0.38431802755259215,-0.05135212495617003,0.14582082708121866,3.8396259591142408,-1.6434855298589492,0.11591157548906761,0.2290021810705663
Zm00001d002848,C_6133_188.5535mz_11.21min_96224_,0.5193255445594788,0.400060262959043,-0.03931729843038424,-0.2470788123481974,-5.284226592670873,1.6434430979402908,0.11592041755828997,0.2290021810705663
Zm00001d014401,C_6133_188.5535mz_11.21min_96224_,-0.4260300101959561,0.4079999472590751,0.06402943278103362,0.23784965447176756,-2.7146925115698015,-1.6392780897213313,0.11679111234598882,0.2290021810705663
Zm00001d035367,C_11766_384.2742mz_13.27min_44745_,0.5452006032857035,-0.26908316781021374,-0.3129851552839256,-0.1662808498597695,0.468726081564708,-1.6016017637599766,0.12492110900087927,0.24023290192476782
Zm00001d013003,C_957_115.0039mz_1.71min_9228_,-0.28851743124280715,0.4275422027914734,-0.14857817026055517,-0.0252247921632674,0.8302254488729283,-1.557850470364889,0.13495243402729384,0.2468240416318843
Zm00001d013003,C_1345_225.1210mz_1.83min_20407_,0.7034257865907568,-0.17290055988591277,-0.14857817026055517,-0.02695545792082335,0.8185772655999686,-1.5450692347580557,0.13800644697997977,0.2468240416318843
Zm00001d013003,C_11766_384.2742mz_13.27min_44745_,0.33615058864368463,-0.37109448177832766,-0.14857817026055517,-0.023834541768347085,0.8395824788624772,-1.5408633894787709,0.13902386552349544,0.2468240416318843
Zm00001d013003,C_31717_353.1450mz_4.70min_32213_,-0.33794426610370054,0.3919658926301692,-0.14857817026055517,-0.016115544337971032,0.8915349118264825,-1.53056559731506,0.14154121684616916,0.2468240416318843
Zm00001d014401,C_11766_384.2742mz_13.27min_44745_,0.382878065915057,-0.45450857765253455,0.06402943278103362,0.23805079793444098,-2.7178339334743384,-1.5295521948864863,0.1417909733408922,0.2468240416318843
