Gene,log2FC_metabR_v_metabS,t,p,FDR
Zm00001d050089,0.6171993699000984,3.9193512552971397,0.0002726620447446475,0.02758983138738597
Zm00001d042727,1.3531172243921628,3.9601328599393164,0.0002748588363320924,0.027682759264814553
Zm00001d041544,-1.1095123085920708,-3.9720151099349357,0.0002778665420698317,0.027856120842500626
Zm00001d039099,-0.8004124324342643,-3.8733783823577665,0.0002857591466739288,0.02839284919623171
Zm00001d028744,-1.169337532509004,-3.8694556326536733,0.0002870628745150847,0.02839284919623171
Zm00001d042022,-0.7681401777502206,-3.9382718108722834,0.0002881275892271699,0.02839284919623171
Zm00001d030114,-1.9528341908476676,-3.8723828680633883,0.0002893582845208254,0.02839284919623171
Zm00001d021879,1.3231913634827235,3.870372509088074,0.0002910278581746583,0.02839284919623171
Zm00001d016203,-0.9912661687410047,-3.89619679438078,0.00029108767532850464,0.02839284919623171
Zm00001d036973,-2.24497304223882,-3.8627220759661385,0.00029357605746570346,0.028507156719113642
Zm00001d026618,-0.586215398810792,-3.870620319859863,0.00029596890931694625,0.02859869240791089
Zm00001d029756,1.8530475906653412,3.8664129616866494,0.0002971601455518588,0.02859869240791089
Zm00001d019734,-0.7906993519170946,-3.860515198252656,0.0003008850893329114,0.028829051877941873
Zm00001d045220,1.097419736315552,3.891724862590598,0.0003073745499789316,0.029257972136945108
Zm00001d006088,-1.412975962141783,-3.850243439144404,0.00030883316861691026,0.029257972136945108
Zm00001d021754,-0.30087780734022207,-3.84666239663185,0.0003110854138400895,0.029257972136945108
Zm00001d045503,-0.6256292961233885,-4.030097216706661,0.0003119245560605797,0.029257972136945108
Zm00001d042347,0.8493942097288798,3.861681401737464,0.00031211746391587327,0.029257972136945108
Zm00001d035865,-1.016029704878116,-3.8506612629327446,0.00031376370984190796,0.029285514538433942
Zm00001d028074,1.138554209692836,3.8407297114955337,0.0003162468276828292,0.029390595736669453
Zm00001d018699,-1.5755307712019206,-3.8481000611387075,0.000320488998779526,0.02965755888705921
Zm00001d001773,1.174597606651698,3.8431132454583516,0.0003232506273589699,0.029785825892898448
Zm00001d008209,-1.1886324042479526,-3.836824254671417,0.00032995826687930635,0.030030157644450616
Zm00001d029208,0.9984233837546244,3.899724316355054,0.00033055054283464766,0.030030157644450616
Zm00001d035926,-0.9734913361720592,-3.912243955908039,0.00033231150926875717,0.030030157644450616
Zm00001d004168,-1.2483465356123506,-3.9212342801707103,0.0003341586865264379,0.030030157644450616
Zm00001d016932,-0.9714688969771915,-4.0273261135524985,0.00033497326464128243,0.030030157644450616
Zm00001d008645,1.5300805202268137,3.8573554204891134,0.00033523607318463873,0.030030157644450616
Zm00001d011595,-0.8919692832775463,-3.913510068181352,0.00033560996351514956,0.030030157644450616
Zm00001d025865,-0.7406604046562011,-3.830529623527778,0.00033740676549612325,0.030066691769765647
Zm00001d003312,1.4445608369746423,3.816672603254382,0.000343111401452725,0.030323296970622873
Zm00001d047998,2.0723116871619505,3.83315514942165,0.00034350655622221774,0.030323296970622873
Zm00001d049894,-0.41034525070606165,-3.8198478114299164,0.0003444874413398553,0.030323296970622873
Zm00001d041814,-1.1814544220905852,-3.830636047001769,0.00034819573239284015,0.030497647214476474
Zm00001d048344,1.3896068188528758,3.8257726416709805,0.0003503830272822725,0.030497647214476474
Zm00001d033767,-1.2513653815031847,-3.806668137359753,0.0003513173276302273,0.030497647214476474
Zm00001d048013,1.8709692100935005,3.8285864072770064,0.00035210177351155066,0.030497647214476474
Zm00001d023713,-1.68719556444027,-3.8046532843728254,0.000354367271917061,0.030571589267298957
Zm00001d003021,-1.477601196260622,-3.8007405680566055,0.0003633959504216356,0.03122609488265912
Zm00001d007965,-0.8524675255717377,-3.817789288138735,0.0003682601435918975,0.03144386011970493
Zm00001d017087,1.0857624277332216,3.826881719153182,0.0003702075383643765,0.03144386011970493
Zm00001d016551,1.6649762969309005,3.8007060546695155,0.00037028652122124124,0.03144386011970493
Zm00001d045497,-0.9177647221230583,-3.854155573272697,0.00037310377520899537,0.03155933261084213
Zm00001d028471,-1.672736250152545,-3.7863551244492295,0.0003749426521056909,0.03159147155134876
Zm00001d045431,-0.7324754215681546,-3.7939602435747743,0.0003772100119607866,0.031659324027127414
Zm00001d035046,-1.142834814400163,-3.783364197837589,0.0003799158315572065,0.031763310488570465
Zm00001d048950,2.1013254023056085,3.7879028457058976,0.0003830543187325774,0.03190253160705858
Zm00001d033044,1.0693272319180411,3.789883001106251,0.00038825167844732186,0.032211501322215744
Zm00001d029696,-1.75250150336108,-3.7701719775404223,0.0003951756134076262,0.032501712816123976
Zm00001d001856,-1.2950327193505995,-3.8919899703604557,0.0003971783643675231,0.032501712816123976
Zm00001d028366,1.3611817698791704,3.76818048106947,0.00039883755718027157,0.032501712816123976
Zm00001d013530,-0.6437616869560716,-3.7834727050346264,0.00039890685337982723,0.032501712816123976
Zm00001d017112,1.4407747327311569,3.8829402893484732,0.000399254438398863,0.032501712816123976
Zm00001d039350,-1.6669118190806422,-3.785032384665037,0.00040408243350833654,0.03268988305418418
Zm00001d006397,-1.147298911596014,-3.764742588009536,0.00040458523406859513,0.03268988305418418
Zm00001d036700,-1.247103437000031,-3.7690971718432387,0.0004085272249697635,0.03288568226578163
Zm00001d034496,0.9110895800442216,3.8453298265387432,0.00041514632775078,0.033294735485612556
Zm00001d050300,0.6818507957870903,3.7530983596049285,0.00041730600277094715,0.03334444348340255
Zm00001d018298,1.6193354588025417,3.748696414766881,0.00042773137207616837,0.03405182033432849
Zm00001d021955,-0.42972654283843603,-3.761904273911181,0.0004295488264280852,0.034071246474262844
Zm00001d035420,1.275293154734857,3.8141151425641615,0.00043129176357881903,0.03408464178297718
Zm00001d005743,-1.5813996923423326,-3.7940351969546304,0.0004379295845521422,0.03446001893253794
Zm00001d040519,-1.406413806739172,-3.7923232703627416,0.00044078896390523006,0.03446001893253794
Zm00001d026211,-1.013860357510103,-3.8462432192594584,0.000442690659538659,0.03446001893253794
Zm00001d020118,-1.3806583821491811,-3.909464568368373,0.0004438438985349556,0.03446001893253794
Zm00001d023557,-0.9092895075365783,-3.796652763703411,0.0004439985814250524,0.03446001893253794
Zm00001d032989,0.6675660282153943,3.8043253595077173,0.0004457594680905692,0.034473126864404235
Zm00001d035390,1.5613633837816154,3.7269949660442534,0.0004536667906327341,0.03478642696073269
Zm00001d049860,-0.9964865157771894,-3.729559042910727,0.0004541320203036493,0.03478642696073269
Zm00001d001472,-0.9777691808577642,-3.728656989716123,0.0004547080602517749,0.03478642696073269
Zm00001d047062,-1.5628867051968098,-3.725297448813637,0.00045623650396453693,0.03478642696073269
Zm00001d047492,0.7895465215170727,3.721103142760313,0.0004662766482543686,0.035427208916842444
Zm00001d000012,-1.2891252077893105,-3.7254052495354224,0.0004771165474561842,0.03601348255972576
Zm00001d043560,-0.3817164484161646,-3.715958992695497,0.00047854759191679624,0.03601348255972576
Zm00001d003797,-0.438824569205415,-3.8355157949988885,0.0004809131762207718,0.03601348255972576
Zm00001d029708,-0.9880293807821316,-3.7102426165125477,0.0004827148242389832,0.03601348255972576
Zm00001d023468,0.5307775921207082,3.784258924744053,0.00048675246084901587,0.03601348255972576
Zm00001d010931,-0.8630381714771493,-3.8873191099175797,0.0004875028431810934,0.03601348255972576
Zm00001d007768,0.7361838891869088,3.7309725548726336,0.0004885992596740014,0.03601348255972576
Zm00001d007807,1.0481860457567986,3.7574405666240995,0.000489154525770647,0.03601348255972576
Zm00001d042245,-0.3885519543935292,-3.7174998901244303,0.0004900812486053972,0.03601348255972576
Zm00001d000522,-0.9353246915387401,-3.7640384418760156,0.0004906242428705597,0.03601348255972576
