Gene,log2FC_RvS,t,p_welch,FDR_welch,p_wilcoxon,FDR_wilcoxon
Zm00001d017165,-0.0838202527255203,-0.45260473166951265,0.6520495248279032,0.8469469658755293,0.7184101195358701,0.8751872139763561
Zm00001d014550,0.08108274973810836,0.45267452504000727,0.6520632036931124,0.8469469658755293,0.7649238342876699,0.8985386084227625
Zm00001d014900,0.08120113809974727,0.45259708595604126,0.6521741150750361,0.8469469658755293,0.5381374405675594,0.7772697530716337
Zm00001d012504,-0.10016521973876724,-0.4523982680375995,0.6521825365859141,0.8469469658755293,0.9369111799870264,0.9756131133175798
Zm00001d006459,0.053959172548795564,0.4524403975583013,0.6521881964930001,0.8469469658755293,0.5795317748816637,0.8014037328876394
Zm00001d001923,0.11022658097206062,0.4524064428082168,0.6522526868903851,0.8469469658755293,0.5705369413635367,0.7979421373279866
Zm00001d041757,0.07554520659893327,0.45209093439294773,0.6523894400853631,0.8469469658755293,0.5498115798052619,0.7835737757735383
Zm00001d048041,-0.09251573105064637,-0.4523804498784027,0.6524233031895216,0.8469469658755293,0.573527820512274,0.7979421373279866
Zm00001d025679,-0.10092209592775925,-0.45232377534362267,0.6524425011392587,0.8469469658755293,0.805486551815709,0.9178553803619094
Zm00001d037006,-0.11542915246605046,-0.451985183330664,0.6524636757139817,0.8469469658755293,0.666510263724641,0.8477305874122394
Zm00001d011217,0.04821314733609444,0.45193640650647854,0.6524960597090932,0.8469469658755293,0.27547178777472725,0.5768922719994143
Zm00001d042922,-0.12353736865130305,-0.4522934117316028,0.6525101166173568,0.8469469658755293,0.3557738040885756,0.647987715849442
Zm00001d025716,0.15908813171174607,0.45185363936577805,0.6525711068036526,0.8469469658755293,0.7118451091066671,0.8709624812179777
Zm00001d013858,0.13210167315484123,0.4517304976833454,0.6526490921368551,0.8469469658755293,0.829399969645612,0.9294052443958851
Zm00001d052820,0.08256482243200303,0.4520437484794538,0.6527164529338723,0.8469469658755293,0.1870984540000914,0.4786095597067902
Zm00001d006769,0.0952760717598995,0.45154527876467465,0.6527744362834356,0.8469469658755293,0.3839291679987328,0.6717519557081899
Zm00001d042799,-0.15045907782662482,-0.45162750884826397,0.6527757699503884,0.8469469658755293,0.6038375838256795,0.8164022877223567
Zm00001d015410,-0.0725775054307185,-0.45188300128669046,0.652782375909272,0.8469469658755293,0.1371967486797021,0.41399921905104087
Zm00001d047787,-0.17562782186347548,-0.4517743701690316,0.6527970153739966,0.8469469658755293,0.7851322524744835,0.9084778131389584
Zm00001d023543,-0.15024982167603929,-0.4515119537700538,0.6528020221882718,0.8469469658755293,0.996491416659101,0.9981046827483313
Zm00001d027837,0.13994713399242675,0.45195923657827813,0.6528178151644931,0.8469469658755293,0.2872544808583313,0.5880325702879851
Zm00001d002240,-0.12091682643642931,-0.4515589103692827,0.6528738804586351,0.8469469658755293,0.6761297129722866,0.8541956128764233
Zm00001d021934,-0.07589003976651476,-0.4513839425101364,0.6528977968595628,0.8469469658755293,0.23166339571073757,0.5290486364396025
Zm00001d038121,0.060291114203123386,0.45137576451190714,0.6529087328604513,0.8469469658755293,0.6442792695033579,0.8391946444541959
Zm00001d027571,-0.07465960036133845,-0.4515445287201129,0.653049050972207,0.8470782406704307,0.9369111799870264,0.9756131133175798
Zm00001d022417,0.10432894395151315,0.4510033017063206,0.6531712500231026,0.8471733548005126,0.9789508742836459,0.9899225848388002
Zm00001d024403,0.07650976852465874,0.45097757719927756,0.6532006249076087,0.8471733548005126,0.4708056105205918,0.7329660428652595
Zm00001d050781,-0.08945286636069572,-0.451058452126201,0.6532778386029892,0.8472227536149685,0.805486551815709,0.9178553803619094
Zm00001d050123,0.07499607079661397,0.4509442355489678,0.6533260869889721,0.8472345842411787,0.4034359417644492,0.6873329569604549
Zm00001d044699,-0.02799882496679995,-0.4508085820626795,0.6534185199573852,0.8473037086746045,0.3743960720295568,0.6644678750699142
Zm00001d048691,0.11341114582143819,0.45062152644435854,0.6535527765473699,0.8473911302951862,0.8328296676848403,0.9295924548478108
Zm00001d002725,0.10193317894208498,0.4505921392291367,0.6535642037064702,0.8473911302951862,0.3246185864554013,0.6217860124816682
